#out7feature0[msb-lsb],out6feature0[msb-lst],....,out0feature0[msb-lst]#
#out7feature1[msb-lsb],out6feature1[msb-lst],....,out0feature1[msb-lst]#
#................#
43, 0, 0, 77, 0, 113, 49, 0, 
175, 0, 0, 144, 0, 239, 174, 0, 
118, 0, 0, 166, 0, 210, 198, 0, 
50, 0, 0, 35, 0, 121, 140, 0, 
0, 0, 0, 122, 0, 91, 0, 0, 
88, 0, 0, 253, 0, 256, 22, 0, 
0, 0, 0, 233, 0, 233, 60, 0, 
0, 0, 0, 0, 0, 106, 31, 0, 
41, 0, 0, 205, 0, 108, 0, 17, 
170, 0, 0, 312, 0, 331, 0, 14, 
48, 0, 0, 312, 0, 259, 0, 19, 
49, 0, 0, 95, 0, 63, 0, 57, 
9, 0, 0, 191, 0, 63, 38, 96, 
67, 0, 0, 201, 0, 158, 43, 30, 
20, 0, 0, 177, 0, 116, 10, 0, 
57, 0, 0, 89, 0, 0, 0, 2, 
